origin,destination,dist
Chiasso,Basso Vedeggio,54.86
Chiasso,Alto Vedeggio,46.27
Capriasca,Zona Lugano,36.36
Capriasca,Zona Locarno,42.24
Capriasca,Zona Bellinzona,32.12
Capriasca,Vallemaggia,60.09
Capriasca,Valle Verzasca,51.37
Capriasca,Stabio,56.74
Capriasca,Sonvico,38.46
Capriasca,Riviera,50.68
Capriasca,Piano di Magadino sponda sinistra,28.68
Capriasca,Piano di Magadino sponda destra,33.07
Capriasca,Pian Scairolo,39.73
Capriasca,Mendrisiotto,54.04
Capriasca,Melide,43.33
Capriasca,Malcantone,39.43
Capriasca,Leventina,71.68
Capriasca,Gambarogno,38.64
Capriasca,Chiasso,59.61
Capriasca,Blenio,64.22
Capriasca,Basso Vedeggio,33.43
Capriasca,Alto Vedeggio,24.84
Blenio,Zona Lugano,87.98
Blenio,Zona Locarno,93.87
Blenio,Zona Bellinzona,83.75
Blenio,Vallemaggia,111.72
Blenio,Valle Verzasca,103.0
Blenio,Stabio,108.36
Blenio,Sonvico,90.09
Blenio,Riviera,102.31
Blenio,Piano di Magadino sponda sinistra,80.31
Blenio,Piano di Magadino sponda destra,84.7
Blenio,Pian Scairolo,91.35
Blenio,Mendrisiotto,105.67
Blenio,Melide,94.95
Blenio,Malcantone,91.06
Blenio,Leventina,123.31
Blenio,Gambarogno,90.26
Blenio,Chiasso,111.24
Blenio,Capriasca,84.34
Blenio,Basso Vedeggio,85.05
Blenio,Alto Vedeggio,76.47
Basso Vedeggio,Zona Lugano,33.08
Basso Vedeggio,Zona Locarno,38.96
Basso Vedeggio,Zona Bellinzona,28.84
Basso Vedeggio,Vallemaggia,56.81
Basso Vedeggio,Valle Verzasca,48.09
Basso Vedeggio,Stabio,53.46
Basso Vedeggio,Sonvico,35.18
Basso Vedeggio,Riviera,47.4
Basso Vedeggio,Piano di Magadino sponda sinistra,25.4
Basso Vedeggio,Piano di Magadino sponda destra,29.79
Basso Vedeggio,Pian Scairolo,36.45
Basso Vedeggio,Mendrisiotto,50.76
Basso Vedeggio,Melide,40.05
Basso Vedeggio,Malcantone,36.16
Basso Vedeggio,Leventina,68.4
Basso Vedeggio,Gambarogno,35.36
Basso Vedeggio,Chiasso,56.33
Basso Vedeggio,Capriasca,29.43
Basso Vedeggio,Blenio,60.94
Basso Vedeggio,Alto Vedeggio,21.56
Alto Vedeggio,Zona Lugano,32.09
Alto Vedeggio,Zona Locarno,37.98
Alto Vedeggio,Zona Bellinzona,27.86
Alto Vedeggio,Vallemaggia,55.83
Alto Vedeggio,Valle Verzasca,47.11
Alto Vedeggio,Stabio,52.48
Alto Vedeggio,Sonvico,34.2
Alto Vedeggio,Riviera,46.42
Alto Vedeggio,Piano di Magadino sponda sinistra,24.42
Alto Vedeggio,Piano di Magadino sponda destra,28.81
Alto Vedeggio,Pian Scairolo,35.46
Alto Vedeggio,Mendrisiotto,49.78
Alto Vedeggio,Melide,39.06
Alto Vedeggio,Malcantone,35.17
Alto Vedeggio,Leventina,67.42
Alto Vedeggio,Gambarogno,34.37
Alto Vedeggio,Chiasso,55.35
Alto Vedeggio,Capriasca,28.45
Alto Vedeggio,Blenio,59.96
Alto Vedeggio,Basso Vedeggio,29.17
Zona Lugano,Zona Lugano,34.76
Zona Locarno,Zona Locarno,71.1
Zona Bellinzona,Zona Bellinzona,51.71
Vallemaggia,Vallemaggia,107.03
Valle Verzasca,Valle Verzasca,90.04
Stabio,Stabio,75.45
Sonvico,Sonvico,38.02
Riviera,Riviera,88.36
Piano di Magadino sponda sinistra,Piano di Magadino sponda sinistra,43.94
Piano di Magadino sponda destra,Piano di Magadino sponda destra,52.87
Pian Scairolo,Pian Scairolo,41.7
Mendrisiotto,Mendrisiotto,69.67
Melide,Melide,50.39
Malcantone,Malcantone,40.7
Leventina,Leventina,130.59
Gambarogno,Gambarogno,63.91
Chiasso,Chiasso,81.05
Capriasca,Capriasca,32.71
Blenio,Blenio,115.85
Basso Vedeggio,Basso Vedeggio,30.15
Alto Vedeggio,Alto Vedeggio,20.58
