origin,destination,time
Blenio,Zona Locarno,62.8
Blenio,Zona Bellinzona,51.77
Blenio,Vallemaggia,80.11
Blenio,Valle Verzasca,75.51
Blenio,Stabio,64.45
Blenio,Sonvico,56.73
Blenio,Riviera,60.96
Blenio,Piano di Magadino sponda sinistra,50.63
Blenio,Piano di Magadino sponda destra,56.39
Blenio,Pian Scairolo,56.37
Blenio,Mendrisiotto,63.99
Blenio,Melide,57.22
Blenio,Malcantone,58.46
Blenio,Leventina,72.24
Blenio,Gambarogno,62.39
Blenio,Chiasso,66.25
Blenio,Capriasca,57.33
Blenio,Basso Vedeggio,54.11
Blenio,Alto Vedeggio,48.9
Basso Vedeggio,Zona Lugano,22.96
Basso Vedeggio,Zona Locarno,31.34
Basso Vedeggio,Zona Bellinzona,20.31
Basso Vedeggio,Vallemaggia,48.65
Basso Vedeggio,Valle Verzasca,44.05
Basso Vedeggio,Stabio,32.99
Basso Vedeggio,Sonvico,25.27
Basso Vedeggio,Riviera,29.5
Basso Vedeggio,Piano di Magadino sponda sinistra,19.17
Basso Vedeggio,Piano di Magadino sponda destra,24.92
Basso Vedeggio,Pian Scairolo,24.9
Basso Vedeggio,Mendrisiotto,32.53
Basso Vedeggio,Melide,25.76
Basso Vedeggio,Malcantone,27.0
Basso Vedeggio,Leventina,40.77
Basso Vedeggio,Gambarogno,30.93
Basso Vedeggio,Chiasso,34.79
Basso Vedeggio,Capriasca,25.87
Basso Vedeggio,Blenio,39.38
Basso Vedeggio,Alto Vedeggio,17.44
Alto Vedeggio,Zona Lugano,22.75
Alto Vedeggio,Zona Locarno,31.12
Alto Vedeggio,Zona Bellinzona,20.09
Alto Vedeggio,Vallemaggia,48.43
Alto Vedeggio,Valle Verzasca,43.84
Alto Vedeggio,Stabio,32.77
Alto Vedeggio,Sonvico,25.05
Alto Vedeggio,Riviera,29.28
Alto Vedeggio,Piano di Magadino sponda sinistra,18.95
Alto Vedeggio,Piano di Magadino sponda destra,24.71
Alto Vedeggio,Pian Scairolo,24.69
Alto Vedeggio,Mendrisiotto,32.31
Alto Vedeggio,Melide,25.54
Alto Vedeggio,Malcantone,26.79
Alto Vedeggio,Leventina,40.56
Alto Vedeggio,Gambarogno,30.71
Alto Vedeggio,Chiasso,34.57
Alto Vedeggio,Capriasca,25.65
Alto Vedeggio,Blenio,39.16
Alto Vedeggio,Basso Vedeggio,22.43
Zona Lugano,Zona Lugano,23.83
Zona Locarno,Zona Locarno,54.15
Zona Bellinzona,Zona Bellinzona,33.25
Vallemaggia,Vallemaggia,89.12
Valle Verzasca,Valle Verzasca,80.95
Stabio,Stabio,44.18
Sonvico,Sonvico,27.47
Riviera,Riviera,50.9
Piano di Magadino sponda sinistra,Piano di Magadino sponda sinistra,29.7
Piano di Magadino sponda destra,Piano di Magadino sponda destra,41.4
Pian Scairolo,Pian Scairolo,28.19
Mendrisiotto,Mendrisiotto,42.82
Melide,Melide,30.8
Malcantone,Malcantone,31.96
Leventina,Leventina,72.92
Gambarogno,Gambarogno,53.27
Chiasso,Chiasso,47.68
Capriasca,Capriasca,30.52
Blenio,Blenio,70.84
Basso Vedeggio,Basso Vedeggio,22.64
Alto Vedeggio,Alto Vedeggio,17.23
